text,emoji,target
"Zach <UNK> , just <UNK> into the first !",👀,👀
"<UNK> want yall sleep , shit does add up in <UNK> boy",😂,😂
remember to,👀💭,💭
I hope in real life there are no <UNK> clouds that make you <UNK> <UNK>,😮😮😮,😮
<UNK> <UNK> ASU ! ! ! GIVE <UNK> <UNK>,😈😈😈,😈
Why she so fine tho ?,👀👀,👀
This is hilarious !,😂,😂
We're blue line strong,💙,💙
Only the beginning ... <UNK>,💪,💪
<UNK> threads,👌,👌
How about a <UNK> shirt out of Dan ’ s closet ?,😁,😁
Females who can ’ t,🚮,🚮
<UNK> THE <UNK> <UNK> ON THE <UNK> :,🥔☘☺,☺
my cousin really said “ be good ” to me after he left ... how ’ d he know,🤧,🤧
""" We can shoot your wife , Frame your mother "" this just killed",😂😂😂😂😂,😂
<UNK> start at,🙃,🙃
Haha those were the days mate . On <UNK> <UNK> up and <UNK> up a <UNK> bill for to pay !,😂,😂
Not only he <UNK> the best <UNK> at <UNK> but he is also the best to hold onto in a <UNK>,😂😂😂,😂
"Hold Me Down & Show Me The Real & I <UNK> You , You <UNK> Have To <UNK> <UNK>",💯🤞,🤞
why is this puppy throwing it back,😂😂,😂
This video will never not be funny,💀,💀
I have a cute ass outfit for tonight but no where to go,🙄,🙄
171125 ElyXiOn In Seoul Day #ElyXiOnInSeoul <UNK> <UNK> <UNK> #엑소 #EXO,❤❤❤,❤
My boyfriend come home with a $ 500 haircut he better take that shit back to who he bought it from . Idc !,😂😂😂,😂
Smh niggas be <UNK> man ... hope the F held it down tho,✊✊,✊
"I ’ m literally the <UNK> , funniest person I know",😂😂😂,😂
I ’ m such a <UNK> sometimes,😂😭🤦♀,♀
<UNK> - S | Hot <UNK> <UNK> <UNK> Follow <UNK> <UNK> <UNK> …,✅✅,✅
now <UNK> the most wins in Big Ten Conference history with <UNK> #GoBucks,👍🏈🏈👍,👍
I can't until <UNK> starts talking .,😍❤,❤
In case you were wondering what to get me for Christmas ...,😇🎄,🎄
"<UNK> a Dawg or a <UNK> , so I'll sit <UNK> on the <UNK> . May the best team win ! <UNK>",🌲,🌲
<UNK> ! ! ! You rock,😂😘😗🤘🤘🤘,🤘
watch <UNK> #porn <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> #milf #xxx #sex <UNK> …,⏬⏬,⏬
PLEASE HELP ME FIND MY SON Last seen : Houston Texas . any info call 2244788207,‼‼‼,‼
YASSS It's time for a great show good y'all,🙌👅💦🍇,🍇
Imagine how happy Lisa must be right now ' cause she finally took <UNK> to her <UNK> #BLACKPINK #THAILAND http …,❣,❣
Met legend at look on my face says it all <UNK> <UNK> …,😂🙋♂🌟⚾💯,💯
We are the best for a,🤷♂,♂
I want someone to lick my <UNK> little pussy right now,💦,💦
"Did this <UNK> today , really excited to finish it",❤🖤,🖤
Check out my broadcast from my PlayStation 4 ! #PS4live ( Call of WWII ) live at,®,®
